# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011-2026 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
1D71C;0041;(𝜜) (A);(MATHEMATICAL BOLD ITALIC CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
1D756;0041;(𝝖) (A);(MATHEMATICAL SANS-SERIF BOLD CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
1D790;0041;(𝞐) (A);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ALPHA) (LATIN CAPITAL LETTER A)
0181;0042;(Ɓ) (B);(LATIN CAPITAL LETTER B WITH HOOK) (LATIN CAPITAL LETTER B)
0392;0042;(Β) (B);(GREEK CAPITAL LETTER BETA) (LATIN CAPITAL LETTER B)
0412;0042;(В) (B);(CYRILLIC CAPITAL LETTER VE) (LATIN CAPITAL LETTER B)
13F4;0042;(Ᏼ) (B);(CHEROKEE LETTER YV) (LATIN CAPITAL LETTER B)
15F7;0042;(ᗷ) (B);(CANADIAN SYLLABICS CARRIER KHE) (LATIN CAPITAL LETTER B)
1D2E;0042;(ᴮ) (B);(MODIFIER LETTER CAPITAL B) (LATIN CAPITAL LETTER B)
212C;0042;(ℬ) (B);(SCRIPT CAPITAL B) (LATIN CAPITAL LETTER B)
24B7;0042;(Ⓑ) (B);(CIRCLED LATIN CAPITAL LETTER B) (LATIN CAPITAL LETTER B)
33C3;0042 0071;(㏃) (Bq);(SQUARE BQ) (LATIN CAPITAL LETTER B  LATIN SMALL LETTER Q)
A4D0;0042;(ꓐ) (B);(LISU LETTER BA) (LATIN CAPITAL LETTER B)
A7B4;0042;(Ꞵ) (B);(LATIN CAPITAL LETTER BETA) (LATIN CAPITAL LETTER B)
FF22;0042;(Ｂ) (B);(FULLWIDTH LATIN CAPITAL LETTER B) (LATIN CAPITAL LETTER B)
10282;0042;(𐊂) (B);(LYCIAN LETTER B) (LATIN CAPITAL LETTER B)
102A1;0042;(𐊡) (B);(CARIAN LETTER P2) (LATIN CAPITAL LETTER B)
10301;0042;(𐌁) (B);(OLD ITALIC LETTER BE) (LATIN CAPITAL LETTER B)
1D401;0042;(𝐁) (B);(MATHEMATICAL BOLD CAPITAL B) (LATIN CAPITAL LETTER B)
1D435;0042;(𝐵) (B);(MATHEMATICAL ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D469;0042;(𝑩) (B);(MATHEMATICAL BOLD ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D4D1;0042;(𝓑) (B);(MATHEMATICAL BOLD SCRIPT CAPITAL B) (LATIN CAPITAL LETTER B)
1D505;0042;(𝔅) (B);(MATHEMATICAL FRAKTUR CAPITAL B) (LATIN CAPITAL LETTER B)
1D539;0042;(𝔹) (B);(MATHEMATICAL DOUBLE-STRUCK CAPITAL B) (LATIN CAPITAL LETTER B)
1D56D;0042;(𝕭) (B);(MATHEMATICAL BOLD FRAKTUR CAPITAL B) (LATIN CAPITAL LETTER B)
1D5A1;0042;(𝖡) (B);(MATHEMATICAL SANS-SERIF CAPITAL B) (LATIN CAPITAL LETTER B)
1D5D5;0042;(𝗕) (B);(MATHEMATICAL SANS-SERIF BOLD CAPITAL B) (LATIN CAPITAL LETTER B)
1D609;0042;(𝘉) (B);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D63D;0042;(𝘽) (B);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL B) (LATIN CAPITAL LETTER B)
1D671;0042;(𝙱) (B);(MATHEMATICAL MONOSPACE CAPITAL B) (LATIN CAPITAL LETTER B)
1D6A9;0042;(𝚩) (B);(MATHEMATICAL BOLD CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D6E3;0042;(𝛣) (B);(MATHEMATICAL ITALIC CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D71D;0042;(𝜝) (B);(MATHEMATICAL BOLD ITALIC CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D757;0042;(𝝗) (B);(MATHEMATICAL SANS-SERIF BOLD CAPITAL BETA) (LATIN CAPITAL LETTER B)
1D791;0042;(𝞑) (B);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL BETA) (LATIN CAPITAL LETTER B)
0187;0043;(Ƈ) (C);(LATIN CAPITAL LETTER C WITH HOOK) (LATIN CAPITAL LETTER C)
03F9;0043;(Ϲ) (C);(GREEK CAPITAL LUNATE SIGMA SYMBOL) (LATIN CAPITAL LETTER C)
0421;0043;(С) (C);(CYRILLIC CAPITAL LETTER ES) (LATIN CAPITAL LETTER C)
04AA;0043;(Ҫ) (C);(CYRILLIC CAPITAL LETTER ES WITH DESCENDER) (LATIN CAPITAL LETTER C)
13DF;0043;(Ꮯ) (C);(CHEROKEE LETTER TLI) (LATIN CAPITAL LETTER C)
2102;0043;(ℂ) (C);(DOUBLE-STRUCK CAPITAL C) (LATIN CAPITAL LETTER C)
212D;0043;(ℭ) (C);(BLACK-LETTER CAPITAL C) (LATIN CAPITAL LETTER C)
216D;0043;(Ⅽ) (C);(ROMAN NUMERAL ONE HUNDRED) (LATIN CAPITAL LETTER C)
24B8;0043;(Ⓒ) (C);(CIRCLED LATIN CAPITAL LETTER C) (LATIN CAPITAL LETTER C)
2CA4;0043;(Ⲥ) (C);(COPTIC CAPITAL LETTER SIMA) (LATIN CAPITAL LETTER C)
33C6;0043 002F 006B 0067;(㏆) (C/kg);(SQUARE C OVER KG) (LATIN CAPITAL LETTER C  SOLIDUS  LATIN SMALL LETTER K  LATIN SMALL LETTER G)
33C7;0043 006F;(㏇) (Co);(SQUARE CO) (LATIN CAPITAL LETTER C  LATIN SMALL LETTER O)
A4DA;0043;(ꓚ) (C);(LISU LETTER CA) (LATIN CAPITAL LETTER C)
FF23;0043;(Ｃ) (C);(FULLWIDTH LATIN CAPITAL LETTER C) (LATIN CAPITAL LETTER C)
102A2;0043;(𐊢) (C);(CARIAN LETTER D) (LATIN CAPITAL LETTER C)
10302;0043;(𐌂) (C);(OLD ITALIC LETTER KE) (LATIN CAPITAL LETTER C)
10415;0043;(𐐕) (C);(DESERET CAPITAL LETTER CHEE) (LATIN CAPITAL LETTER C)
1051C;0043;(𐔜) (C);(ELBASAN LETTER SHE) (LATIN CAPITAL LETTER C)
118E9;0043;(𑣩) (C);(WARANG CITI DIGIT NINE) (LATIN CAPITAL LETTER C)
118F2;0043;(𑣲) (C);(WARANG CITI NUMBER NINETY) (LATIN CAPITAL LETTER C)
1D402;0043;(𝐂) (C);(MATHEMATICAL BOLD CAPITAL C) (LATIN CAPITAL LETTER C)
1D436;0043;(𝐶) (C);(MATHEMATICAL ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D46A;0043;(𝑪) (C);(MATHEMATICAL BOLD ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D49E;0043;(𝒞) (C);(MATHEMATICAL SCRIPT CAPITAL C) (LATIN CAPITAL LETTER C)
1D4D2;0043;(𝓒) (C);(MATHEMATICAL BOLD SCRIPT CAPITAL C) (LATIN CAPITAL LETTER C)
1D56E;0043;(𝕮) (C);(MATHEMATICAL BOLD FRAKTUR CAPITAL C) (LATIN CAPITAL LETTER C)
1D5A2;0043;(𝖢) (C);(MATHEMATICAL SANS-SERIF CAPITAL C) (LATIN CAPITAL LETTER C)
1D5D6;0043;(𝗖) (C);(MATHEMATICAL SANS-SERIF BOLD CAPITAL C) (LATIN CAPITAL LETTER C)
1D60A;0043;(𝘊) (C);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D63E;0043;(𝘾) (C);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL C) (LATIN CAPITAL LETTER C)
1D672;0043;(𝙲) (C);(MATHEMATICAL MONOSPACE CAPITAL C) (LATIN CAPITAL LETTER C)
1F74C;0043;(🝌) (C);(ALCHEMICAL SYMBOL FOR CALX) (LATIN CAPITAL LETTER C)
00D0;0044;(Ð) (D);(LATIN CAPITAL LETTER ETH) (LATIN CAPITAL LETTER D)
0110;0044;(Đ) (D);(LATIN CAPITAL LETTER D WITH STROKE) (LATIN CAPITAL LETTER D)
0189;0044;(Ɖ) (D);(LATIN CAPITAL LETTER AFRICAN D) (LATIN CAPITAL LETTER D)
018A;0044;(Ɗ) (D);(LATIN CAPITAL LETTER D WITH HOOK) (LATIN CAPITAL LETTER D)
01C4;0044 005A;(Ǆ) (DZ);(LATIN CAPITAL LETTER DZ WITH CARON) (LATIN CAPITAL LETTER D  LATIN CAPITAL LETTER Z)
01C5;0044 007A;(ǅ) (Dz);(LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON) (LATIN CAPITAL LETTER D  LATIN SMALL LETTER Z)
01F1;0044 005A;(Ǳ) (DZ);(LATIN CAPITAL LETTER DZ) (LATIN CAPITAL LETTER D  LATIN CAPITAL LETTER Z)
01F2;0044 007A;(ǲ) (Dz);(LATIN CAPITAL LETTER D WITH SMALL LETTER Z) (LATIN CAPITAL LETTER D  LATIN SMALL LETTER Z)
13A0;0044;(Ꭰ) (D);(CHEROKEE LETTER A) (LATIN CAPITAL LETTER D)
15DE;0044;(ᗞ) (D);(CANADIAN SYLLABICS CARRIER THE) (LATIN CAPITAL LETTER D)
15EA;0044;(ᗪ) (D);(CANADIAN SYLLABICS CARRIER PE) (LATIN CAPITAL LETTER D)
1D30;0044;(ᴰ) (D);(MODIFIER LETTER CAPITAL D) (LATIN CAPITAL LETTER D)
2145;0044;(ⅅ) (D);(DOUBLE-STRUCK ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
216E;0044;(Ⅾ) (D);(ROMAN NUMERAL FIVE HUNDRED) (LATIN CAPITAL LETTER D)
24B9;0044;(Ⓓ) (D);(CIRCLED LATIN CAPITAL LETTER D) (LATIN CAPITAL LETTER D)
A4D3;0044;(ꓓ) (D);(LISU LETTER DA) (LATIN CAPITAL LETTER D)
FF24;0044;(Ｄ) (D);(FULLWIDTH LATIN CAPITAL LETTER D) (LATIN CAPITAL LETTER D)
1D403;0044;(𝐃) (D);(MATHEMATICAL BOLD CAPITAL D) (LATIN CAPITAL LETTER D)
1D437;0044;(𝐷) (D);(MATHEMATICAL ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D46B;0044;(𝑫) (D);(MATHEMATICAL BOLD ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D49F;0044;(𝒟) (D);(MATHEMATICAL SCRIPT CAPITAL D) (LATIN CAPITAL LETTER D)
1D4D3;0044;(𝓓) (D);(MATHEMATICAL BOLD SCRIPT CAPITAL D) (LATIN CAPITAL LETTER D)
1D507;0044;(𝔇) (D);(MATHEMATICAL FRAKTUR CAPITAL D) (LATIN CAPITAL LETTER D)
1D53B;0044;(𝔻) (D);(MATHEMATICAL DOUBLE-STRUCK CAPITAL D) (LATIN CAPITAL LETTER D)
1D56F;0044;(𝕯) (D);(MATHEMATICAL BOLD FRAKTUR CAPITAL D) (LATIN CAPITAL LETTER D)
1D5A3;0044;(𝖣) (D);(MATHEMATICAL SANS-SERIF CAPITAL D) (LATIN CAPITAL LETTER D)
1D5D7;0044;(𝗗) (D);(MATHEMATICAL SANS-SERIF BOLD CAPITAL D) (LATIN CAPITAL LETTER D)
1D60B;0044;(𝘋) (D);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D63F;0044;(𝘿) (D);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL D) (LATIN CAPITAL LETTER D)
1D673;0044;(𝙳) (D);(MATHEMATICAL MONOSPACE CAPITAL D) (LATIN CAPITAL LETTER D)
0395;0045;(Ε) (E);(GREEK CAPITAL LETTER EPSILON) (LATIN CAPITAL LETTER E)
0415;0045;(Е) (E);(CYRILLIC CAPITAL LETTER IE) (LATIN CAPITAL LETTER E)
13AC;0045;(Ꭼ) (E);(CHEROKEE LETTER GV) (LATIN CAPITAL LETTER E)
1D31;0045;(ᴱ) (E);(MODIFIER LETTER CAPITAL E) (LATIN CAPITAL LETTER E)
2130;0045;(ℰ) (E);(SCRIPT CAPITAL E) (LATIN CAPITAL LETTER E)
22FF;0045;(⋿) (E);(Z NOTATION BAG MEMBERSHIP) (LATIN CAPITAL LETTER E)
24BA;0045;(Ⓔ) (E);(CIRCLED LATIN CAPITAL LETTER E) (LATIN CAPITAL LETTER E)
2D39;0045;(ⴹ) (E);(TIFINAGH LETTER YADD) (LATIN CAPITAL LETTER E)
A4F0;0045;(ꓰ) (E);(LISU LETTER E) (LATIN CAPITAL LETTER E)
FF25;0045;(Ｅ) (E);(FULLWIDTH LATIN CAPITAL LETTER E) (LATIN CAPITAL LETTER E)
10286;0045;(𐊆) (E);(LYCIAN LETTER I) (LATIN CAPITAL LETTER E)
118A6;0045;(𑢦) (E);(WARANG CITI CAPITAL LETTER II) (LATIN CAPITAL LETTER E)
118AE;0045;(𑢮) (E);(WARANG CITI CAPITAL LETTER YUJ) (LATIN CAPITAL LETTER E)
1D404;0045;(𝐄) (E);(MATHEMATICAL BOLD CAPITAL E) (LATIN CAPITAL LETTER E)
1D438;0045;(𝐸) (E);(MATHEMATICAL ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D46C;0045;(𝑬) (E);(MATHEMATICAL BOLD ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D4D4;0045;(𝓔) (E);(MATHEMATICAL BOLD SCRIPT CAPITAL E) (LATIN CAPITAL LETTER E)
1D508;0045;(𝔈) (E);(MATHEMATICAL FRAKTUR CAPITAL E) (LATIN CAPITAL LETTER E)
1D53C;0045;(𝔼) (E);(MATHEMATICAL DOUBLE-STRUCK CAPITAL E) (LATIN CAPITAL LETTER E)
1D570;0045;(𝕰) (E);(MATHEMATICAL BOLD FRAKTUR CAPITAL E) (LATIN CAPITAL LETTER E)
1D5A4;0045;(𝖤) (E);(MATHEMATICAL SANS-SERIF CAPITAL E) (LATIN CAPITAL LETTER E)
1D5D8;0045;(𝗘) (E);(MATHEMATICAL SANS-SERIF BOLD CAPITAL E) (LATIN CAPITAL LETTER E)
1D60C;0045;(𝘌) (E);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D640;0045;(𝙀) (E);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL E) (LATIN CAPITAL LETTER E)
1D674;0045;(𝙴) (E);(MATHEMATICAL MONOSPACE CAPITAL E) (LATIN CAPITAL LETTER E)
1D6AC;0045;(𝚬) (E);(MATHEMATICAL BOLD CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D6E6;0045;(𝛦) (E);(MATHEMATICAL ITALIC CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D720;0045;(𝜠) (E);(MATHEMATICAL BOLD ITALIC CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D75A;0045;(𝝚) (E);(MATHEMATICAL SANS-SERIF BOLD CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
1D794;0045;(𝞔) (E);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL EPSILON) (LATIN CAPITAL LETTER E)
0191;0046;(Ƒ) (F);(LATIN CAPITAL LETTER F WITH HOOK) (LATIN CAPITAL LETTER F)
03DC;0046;(Ϝ) (F);(GREEK LETTER DIGAMMA) (LATIN CAPITAL LETTER F)
15B4;0046;(ᖴ) (F);(CANADIAN SYLLABICS BLACKFOOT WE) (LATIN CAPITAL LETTER F)
2131;0046;(ℱ) (F);(SCRIPT CAPITAL F) (LATIN CAPITAL LETTER F)
213B;0046 0041 0058;(℻) (FAX);(FACSIMILE SIGN) (LATIN CAPITAL LETTER F  LATIN CAPITAL LETTER A  LATIN CAPITAL LETTER X)
24BB;0046;(Ⓕ) (F);(CIRCLED LATIN CAPITAL LETTER F) (LATIN CAPITAL LETTER F)
A4DD;0046;(ꓝ) (F);(LISU LETTER TSA) (LATIN CAPITAL LETTER F)
A798;0046;(Ꞙ) (F);(LATIN CAPITAL LETTER F WITH STROKE) (LATIN CAPITAL LETTER F)
FF26;0046;(Ｆ) (F);(FULLWIDTH LATIN CAPITAL LETTER F) (LATIN CAPITAL LETTER F)
10287;0046;(𐊇) (F);(LYCIAN LETTER W) (LATIN CAPITAL LETTER F)
102A5;0046;(𐊥) (F);(CARIAN LETTER R) (LATIN CAPITAL LETTER F)
10525;0046;(𐔥) (F);(ELBASAN LETTER GHE) (LATIN CAPITAL LETTER F)
118A2;0046;(𑢢) (F);(WARANG CITI CAPITAL LETTER WI) (LATIN CAPITAL LETTER F)
118C2;0046;(𑣂) (F);(WARANG CITI SMALL LETTER WI) (LATIN CAPITAL LETTER F)
1D213;0046;(𝈓) (F);(GREEK VOCAL NOTATION SYMBOL-20) (LATIN CAPITAL LETTER F)
1D405;0046;(𝐅) (F);(MATHEMATICAL BOLD CAPITAL F) (LATIN CAPITAL LETTER F)
1D439;0046;(𝐹) (F);(MATHEMATICAL ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D46D;0046;(𝑭) (F);(MATHEMATICAL BOLD ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D4D5;0046;(𝓕) (F);(MATHEMATICAL BOLD SCRIPT CAPITAL F) (LATIN CAPITAL LETTER F)
1D509;0046;(𝔉) (F);(MATHEMATICAL FRAKTUR CAPITAL F) (LATIN CAPITAL LETTER F)
1D53D;0046;(𝔽) (F);(MATHEMATICAL DOUBLE-STRUCK CAPITAL F) (LATIN CAPITAL LETTER F)
1D571;0046;(𝕱) (F);(MATHEMATICAL BOLD FRAKTUR CAPITAL F) (LATIN CAPITAL LETTER F)
1D5A5;0046;(𝖥) (F);(MATHEMATICAL SANS-SERIF CAPITAL F) (LATIN CAPITAL LETTER F)
1D5D9;0046;(𝗙) (F);(MATHEMATICAL SANS-SERIF BOLD CAPITAL F) (LATIN CAPITAL LETTER F)
1D60D;0046;(𝘍) (F);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D641;0046;(𝙁) (F);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL F) (LATIN CAPITAL LETTER F)
1D675;0046;(𝙵) (F);(MATHEMATICAL MONOSPACE CAPITAL F) (LATIN CAPITAL LETTER F)
1D7CA;0046;(𝟊) (F);(MATHEMATICAL BOLD CAPITAL DIGAMMA) (LATIN CAPITAL LETTER F)
0193;0047;(Ɠ) (G);(LATIN CAPITAL LETTER G WITH HOOK) (LATIN CAPITAL LETTER G)
01E4;0047;(Ǥ) (G);(LATIN CAPITAL LETTER G WITH STROKE) (LATIN CAPITAL LETTER G)
050C;0047;(Ԍ) (G);(CYRILLIC CAPITAL LETTER KOMI SJE) (LATIN CAPITAL LETTER G)
13C0;0047;(Ꮐ) (G);(CHEROKEE LETTER NAH) (LATIN CAPITAL LETTER G)
13F3;0047;(Ᏻ) (G);(CHEROKEE LETTER YU) (LATIN CAPITAL LETTER G)
1D33;0047;(ᴳ) (G);(MODIFIER LETTER CAPITAL G) (LATIN CAPITAL LETTER G)
24BC;0047;(Ⓖ) (G);(CIRCLED LATIN CAPITAL LETTER G) (LATIN CAPITAL LETTER G)
3387;0047 0042;(㎇) (GB);(SQUARE GB) (LATIN CAPITAL LETTER G  LATIN CAPITAL LETTER B)
3393;0047 0048 007A;(㎓) (GHz);(SQUARE GHZ) (LATIN CAPITAL LETTER G  LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
33AC;0047 0050 0061;(㎬) (GPa);(SQUARE GPA) (LATIN CAPITAL LETTER G  LATIN CAPITAL LETTER P  LATIN SMALL LETTER A)
33C9;0047 0079;(㏉) (Gy);(SQUARE GY) (LATIN CAPITAL LETTER G  LATIN SMALL LETTER Y)
A4D6;0047;(ꓖ) (G);(LISU LETTER GA) (LATIN CAPITAL LETTER G)
FF27;0047;(Ｇ) (G);(FULLWIDTH LATIN CAPITAL LETTER G) (LATIN CAPITAL LETTER G)
1D406;0047;(𝐆) (G);(MATHEMATICAL BOLD CAPITAL G) (LATIN CAPITAL LETTER G)
1D43A;0047;(𝐺) (G);(MATHEMATICAL ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D46E;0047;(𝑮) (G);(MATHEMATICAL BOLD ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D4A2;0047;(𝒢) (G);(MATHEMATICAL SCRIPT CAPITAL G) (LATIN CAPITAL LETTER G)
1D4D6;0047;(𝓖) (G);(MATHEMATICAL BOLD SCRIPT CAPITAL G) (LATIN CAPITAL LETTER G)
1D50A;0047;(𝔊) (G);(MATHEMATICAL FRAKTUR CAPITAL G) (LATIN CAPITAL LETTER G)
1D53E;0047;(𝔾) (G);(MATHEMATICAL DOUBLE-STRUCK CAPITAL G) (LATIN CAPITAL LETTER G)
1D572;0047;(𝕲) (G);(MATHEMATICAL BOLD FRAKTUR CAPITAL G) (LATIN CAPITAL LETTER G)
1D5A6;0047;(𝖦) (G);(MATHEMATICAL SANS-SERIF CAPITAL G) (LATIN CAPITAL LETTER G)
1D5DA;0047;(𝗚) (G);(MATHEMATICAL SANS-SERIF BOLD CAPITAL G) (LATIN CAPITAL LETTER G)
1D60E;0047;(𝘎) (G);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D642;0047;(𝙂) (G);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D676;0047;(𝙶) (G);(MATHEMATICAL MONOSPACE CAPITAL G) (LATIN CAPITAL LETTER G)
0126;0048;(Ħ) (H);(LATIN CAPITAL LETTER H WITH STROKE) (LATIN CAPITAL LETTER H)
0397;0048;(Η) (H);(GREEK CAPITAL LETTER ETA) (LATIN CAPITAL LETTER H)
041D;0048;(Н) (H);(CYRILLIC CAPITAL LETTER EN) (LATIN CAPITAL LETTER H)
04A2;0048;(Ң) (H);(CYRILLIC CAPITAL LETTER EN WITH DESCENDER) (LATIN CAPITAL LETTER H)
04C7;0048;(Ӈ) (H);(CYRILLIC CAPITAL LETTER EN WITH HOOK) (LATIN CAPITAL LETTER H)
04C9;0048;(Ӊ) (H);(CYRILLIC CAPITAL LETTER EN WITH TAIL) (LATIN CAPITAL LETTER H)
13BB;0048;(Ꮋ) (H);(CHEROKEE LETTER MI) (LATIN CAPITAL LETTER H)
157C;0048;(ᕼ) (H);(CANADIAN SYLLABICS NUNAVUT H) (LATIN CAPITAL LETTER H)
1D34;0048;(ᴴ) (H);(MODIFIER LETTER CAPITAL H) (LATIN CAPITAL LETTER H)
210B;0048;(ℋ) (H);(SCRIPT CAPITAL H) (LATIN CAPITAL LETTER H)
210C;0048;(ℌ) (H);(BLACK-LETTER CAPITAL H) (LATIN CAPITAL LETTER H)
210D;0048;(ℍ) (H);(DOUBLE-STRUCK CAPITAL H) (LATIN CAPITAL LETTER H)
24BD;0048;(Ⓗ) (H);(CIRCLED LATIN CAPITAL LETTER H) (LATIN CAPITAL LETTER H)
2C67;0048;(Ⱨ) (H);(LATIN CAPITAL LETTER H WITH DESCENDER) (LATIN CAPITAL LETTER H)
2C8E;0048;(Ⲏ) (H);(COPTIC CAPITAL LETTER HATE) (LATIN CAPITAL LETTER H)
32CC;0048 0067;(㋌) (Hg);(SQUARE HG) (LATIN CAPITAL LETTER H  LATIN SMALL LETTER G)
3390;0048 007A;(㎐) (Hz);(SQUARE HZ) (LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
33CB;0048 0050;(㏋) (HP);(SQUARE HP) (LATIN CAPITAL LETTER H  LATIN CAPITAL LETTER P)
A4E7;0048;(ꓧ) (H);(LISU LETTER XA) (LATIN CAPITAL LETTER H)
FF28;0048;(Ｈ) (H);(FULLWIDTH LATIN CAPITAL LETTER H) (LATIN CAPITAL LETTER H)
102CF;0048;(𐋏) (H);(CARIAN LETTER E2) (LATIN CAPITAL LETTER H)
1D407;0048;(𝐇) (H);(MATHEMATICAL BOLD CAPITAL H) (LATIN CAPITAL LETTER H)
1D43B;0048;(𝐻) (H);(MATHEMATICAL ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D46F;0048;(𝑯) (H);(MATHEMATICAL BOLD ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D4D7;0048;(𝓗) (H);(MATHEMATICAL BOLD SCRIPT CAPITAL H) (LATIN CAPITAL LETTER H)
1D573;0048;(𝕳) (H);(MATHEMATICAL BOLD FRAKTUR CAPITAL H) (LATIN CAPITAL LETTER H)
1D5A7;0048;(𝖧) (H);(MATHEMATICAL SANS-SERIF CAPITAL H) (LATIN CAPITAL LETTER H)
1D5DB;0048;(𝗛) (H);(MATHEMATICAL SANS-SERIF BOLD CAPITAL H) (LATIN CAPITAL LETTER H)
1D60F;0048;(𝘏) (H);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D643;0048;(𝙃) (H);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D677;0048;(𝙷) (H);(MATHEMATICAL MONOSPACE CAPITAL H) (LATIN CAPITAL LETTER H)
1D6AE;0048;(𝚮) (H);(MATHEMATICAL BOLD CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D6E8;0048;(𝛨) (H);(MATHEMATICAL ITALIC CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D722;0048;(𝜢) (H);(MATHEMATICAL BOLD ITALIC CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D75C;0048;(𝝜) (H);(MATHEMATICAL SANS-SERIF BOLD CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D796;0048;(𝞖) (H);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ETA) (LATIN CAPITAL LETTER H)
0132;0049 004A;(Ĳ) (IJ);(LATIN CAPITAL LIGATURE IJ) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER J)
0197;0049;(Ɨ) (I);(LATIN CAPITAL LETTER I WITH STROKE) (LATIN CAPITAL LETTER I)
01C1;0049 0049;(ǁ) (II);(LATIN LETTER LATERAL CLICK) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
0399;0049;(Ι) (I);(GREEK CAPITAL LETTER IOTA) (LATIN CAPITAL LETTER I)
0406;0049;(І) (I);(CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I) (LATIN CAPITAL LETTER I)
04C0;0049;(Ӏ) (I);(CYRILLIC LETTER PALOCHKA) (LATIN CAPITAL LETTER I)
1D35;0049;(ᴵ) (I);(MODIFIER LETTER CAPITAL I) (LATIN CAPITAL LETTER I)
2016;0049 0049;(‖) (II);(DOUBLE VERTICAL LINE) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
2110;0049;(ℐ) (I);(SCRIPT CAPITAL I) (LATIN CAPITAL LETTER I)
2111;0049;(ℑ) (I);(BLACK-LETTER CAPITAL I) (LATIN CAPITAL LETTER I)
2160;0049;(Ⅰ) (I);(ROMAN NUMERAL ONE) (LATIN CAPITAL LETTER I)
